uuid,computer_name,w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,P1_Tx [W],P1_Rx1 [W],P1_Rx2 [W],P2_Tx [W],P2_Rx1 [W],P2_Rx2 [W],B_mean_left [T],B_mean_center [T],B_mean_right [T],B_mean_top_left [T],B_mean_bottom_left [T],B_mean_top_right [T],B_mean_bottom_right [T],Ltx_uH,Lrx1_uH,Lrx2_uH,M1,M2,k1,k2,Lmt_uH,Lmr1_uH,Lmr2_uH,Llt_uH,Llr1_uH,Llr2_uH,Magnetizing Current [A],Coreloss_W
a0d07c1d-00d3-43cb-b759-04a660a89b28,DESKTOP-RMS1URL,50.0,1.0,5.8,3.2,15.2,28.0,0.0,0.51,14.0,31.0,0.14,0.07,2.0,17.0,0.07,0.07,0.1,0.38,1.6,1.5,4.8,4.9,6.0,17.0,4.0,3.7,0.5,0.8,0.48,1.4,6.54639950361862,9.73257519192671,0.36261040596165,1.24117630473438,0.184282611217116,0.183052782354534,0.112336156090774,0.123977212984034,0.182111766922141,0.0372834267268724,0.0371991870254007,0.0359382778461976,0.035940575188885,220.777440988879,9.17075485720535,9.17985574492501,43.6997870067782,43.7002657625837,0.97117932959028,0.970708432286199,208.234917863645,8.64975776458055,8.64994729156518,12.5425231252339,0.520997092624798,0.529908453359832,1.5055256157992183,4.48531
76ca14a3-1202-4912-9e36-e0b043e11d34,DESKTOP-RMS1URL,14.0,5.8,4.6,15.2,18.8,22.0,0.0,0.51,14.0,22.0,0.175,0.03,2.0,35.0,0.175,0.03,0.1,0.17,2.2,2.4,4.0,4.8,19.0,1.0,1.1,3.6,0.9,4.4,1.76,2.9,3.38588114891724,2.02891779965591,0.535253765039174,0.537244126908321,0.100084315960394,0.0973440154090776,0.101880565236876,0.0974358604758871,0.124756530171802,0.164218666781208,0.164295265773738,0.166214785412915,0.166279777083874,245.806554694534,10.0265186309419,10.0286141267194,48.7306795660805,48.7308877718492,0.981591198083356,0.981492833649909,236.839846249698,9.66076406678028,9.66084661974788,8.96670844483566,0.365754564161621,0.36776750697151905,1.3236919712278503,5.22705
6eb223d0-2f59-4bb2-8c2a-9a2fb79d843b,DESKTOP-RMS1URL,15.2,5.8,3.4,6.8,14.0,10.0,0.0,0.5,14.0,30.0,0.175,0.04,2.0,12.0,0.035,0.01,0.1,0.22,1.0,3.6,3.3,5.0,21.0,25.0,2.8,2.5,3.1,0.1,0.74,1.4,4.04684892053035,11.8183272321746,0.235225123011125,1.43572181903352,0.140834442991477,0.124982600110633,0.0835815738722194,0.194591583079409,0.131618174038574,0.208054570945388,0.208465511042494,0.210003590325694,0.20991118184845,193.221387733101,7.83185238623782,7.83875928716321,37.9252177437022,37.9261413804971,0.974918334264818,0.974512461612984,183.650312847399,7.44390751863347,7.44427010326788,9.57107488570202,0.38794486760434804,0.394489183895333,1.7070649000639797,5.45748
fcb9fca4-70f7-4cca-869e-2988f9743980,DESKTOP-RMS1URL,30.8,1.0,9.4,4.4,17.6,8.8,0.0,0.51,14.0,31.0,0.07,0.07,2.0,9.0,0.175,0.06,0.1,0.37,1.4,1.3,4.8,3.2,8.0,22.0,1.7,0.1,4.4,1.1,0.74,2.1,6.17107031979091,2.63877758836089,0.396701083476428,1.77241831715604,0.280186171419115,0.275047984970832,0.176642571730448,0.151032369081882,0.262363312634337,0.0359230908049476,0.0359343205128999,0.0362164110990151,0.0362396646362762,169.43088571269,7.01095850530721,7.01385407289923,33.693928369868,33.6939239212259,0.977612305029066,0.977410358641911,161.929472002209,6.70055405906885,6.70055228970764,7.50141371048064,0.31040444623836,0.313301783191587,1.93604659529358,2.66561
fd5a9b62-7896-4536-b4d4-25dfd85eaf10,DESKTOP-RMS1URL,51.2,2.2,8.2,12.8,12.8,52.0,0.0,0.51,14.0,30.0,0.105,0.09,2.0,16.0,0.07,0.07,0.1,0.37,1.3,3.6,4.8,4.2,21.0,4.0,2.4,3.9,0.4,3.7,1.03,1.7,6.19852794615538,8.7673431402393,0.336538957105468,0.217282261526357,0.0217735949455101,0.0207597516858913,0.0623692702148378,0.0318409130320744,0.0839191194059102,0.0247309939979586,0.0246793929044889,0.02434443477826,0.0248284898136727,491.251373044871,19.9937088065646,19.9996194365563,97.6510807265665,97.6514908174708,0.985322690708965,0.985181217536685,476.936703406199,19.4111082233971,19.4112712597011,14.3146696386721,0.5826005831675071,0.588348176855249,0.6573262252801679,1.64504
5fd8fd6b-5145-45a4-a701-e53aa6d6d979,DESKTOP-RMS1URL,18.8,1.0,1.0,22.4,11.6,18.4,0.0,0.51,14.0,26.0,0.105,0.01,2.0,34.0,0.175,0.06,0.1,0.39,1.3,0.8,3.0,3.7,10.0,29.0,3.0,2.3,4.9,0.1,0.39,1.2,7.22168976287255,3.82673941454727,0.150834472015187,2.50408030071859,0.0710063179934935,0.0721920211230179,0.299822903504829,0.0530288422459885,0.428782083622528,0.537083857946906,0.537023822383277,0.549449722617056,0.549598883535402,138.518045171339,5.84512731443502,5.85006901179897,27.3441204369165,27.3438288155589,0.960978770845593,0.960562559498587,127.918671783604,5.39785932976264,5.39774419549269,10.5993733877345,0.447267984672382,0.45232481630628,2.4507993913344177,22.8521
27e39dd9-4104-4e06-9265-52728f0985ac,DESKTOP-RMS1URL,18.8,8.2,3.4,24.8,5.6,16.0,0.0,0.51,14.0,33.0,0.14,0.04,2.0,27.0,0.07,0.06,0.1,0.33,0.7,0.3,1.9,2.2,27.0,29.0,3.7,1.9,0.8,2.5,0.18,1.0,10.6518828348745,10.3574828414511,0.453646488709518,0.259404826320539,0.0156485753573574,0.0161498837587672,0.0512201209615046,0.045710826228098,0.0756208412675249,0.176382572455355,0.174028033149753,0.17595490024722,0.1734989244341,501.481260114928,20.343804615605,20.3557497118242,99.6575730478939,99.6569535791523,0.986658506009981,0.986362838383923,488.189503067588,19.8045922264776,19.8043460176383,13.2917570473399,0.53921238912737,0.551403694185893,0.6421748132183016,1.81328
e76d5522-ad63-41df-a9f2-796233c9ca10,DESKTOP-RMS1URL,45.2,10.6,3.4,11.6,21.2,13.6,0.0,0.51,14.0,25.0,0.14,0.04,2.0,14.0,0.14,0.01,0.1,0.2,1.5,1.5,4.7,4.3,23.0,15.0,0.8,2.9,1.8,3.0,1.15,1.9,6.26508564862055,4.688686039601,0.934248526828514,0.134148960985955,0.0312023158317448,0.031019107717449,0.0162903711668587,0.0394281867967322,0.0235256365720586,0.0695783566892263,0.0696571995967052,0.0713685309939974,0.0706463124759312,828.542115559307,33.3846478021414,33.3895242263311,165.236815471711,165.235437068243,0.993518875505647,0.993438035546919,817.83714925041,32.9533100062165,32.9527602163018,10.7049663088975,0.431337795924932,0.436764010029264,0.38333182007555594,0.0009596
55b111eb-d52c-4939-8e12-d866d2b5a9b1,DESKTOP-RMS1URL,51.2,11.8,5.8,6.8,3.2,18.4,0.0,0.51,14.0,9.0,0.105,0.02,2.0,11.0,0.07,0.05,0.1,0.11,0.2,0.5,1.8,3.3,29.0,21.0,4.9,4.1,2.6,1.4,0.11,1.2,28.5371812947101,12.6937157685967,1.97524733812631,0.320504937537748,0.0762375922738389,0.0785597357453146,0.0156104672184373,0.0587881737547647,0.017632996164649,0.038183143715979,0.0381720134372862,0.037177126005938,0.0371817571296535,733.503876962368,29.7332138759559,29.7388415836605,146.178543677036,146.180700643587,0.989832015326464,0.989752958447091,718.663200039022,29.1316342048938,29.1324939264722,14.840676923346,0.601579671062118,0.6063476571883011,0.43623077253787473,0.000373585
ea50ce3e-b64f-4511-872f-4897e22e83de,DESKTOP-RMS1URL,38.0,11.8,13.0,20.0,26.0,12.4,0.0,0.5,14.0,9.0,0.175,0.08,2.0,12.0,0.07,0.04,0.1,0.46,3.2,1.0,5.0,4.8,12.0,14.0,1.9,1.1,3.6,2.3,0.85,3.1,4.89381545887309,5.62822323862813,1.18661155583525,0.0531250445319783,0.0162615834770954,0.0162643701235823,0.0184090786543996,0.0266607272980142,0.0223701361413728,0.0205035682789186,0.0205323389971431,0.0218224287523292,0.0218397927698265,1096.98145788798,44.244819888175,44.2524714146418,218.55939091898,218.560848515827,0.992061538185108,0.991982383280873,1079.6338979253499,43.5451365338879,43.5457173505263,17.3475599626277,0.6996833542870681,0.706754064115476,0.2903789919434714,0.000242807
