w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,fail_level,elapsed
6.8,5.8,2.2,4.4,17.6,17.2,0.0,0.51,14.0,11.0,0.14,0.07,2.0,14.0,0.07,0.03,0.1,0.14,1.2,1.4,4.0,3.2,21.0,7.0,0.4,3.5,1.3,2.9,0.37,3.1,10,643250000000
42.8,8.2,4.6,17.6,8.0,46.0,0.0,0.51,14.0,18.0,0.105,0.07,2.0,15.0,0.105,0.05,0.1,0.23,0.9,1.0,3.0,4.9,18.0,16.0,4.8,3.0,3.2,2.5,0.41,1.0,10,547969000000
18.8,9.4,10.6,22.4,3.2,48.4,0.0,0.51,14.0,29.0,0.105,0.04,2.0,12.0,0.175,0.01,0.1,0.21,0.4,3.1,1.4,2.2,12.0,27.0,1.3,0.5,1.6,2.0,0.25,1.0,10,504704000000
34.4,9.4,8.2,9.2,20.0,46.0,0.0,0.51,14.0,30.0,0.07,0.05,2.0,30.0,0.14,0.02,0.1,0.41,2.2,4.0,4.2,4.6,29.0,26.0,0.1,2.0,3.7,3.6,0.74,2.9,10,157922000000
52.4,1.0,3.4,3.2,12.8,10.0,0.0,0.5,14.0,35.0,0.035,0.01,2.0,23.0,0.175,0.04,0.1,0.41,1.4,3.3,4.3,4.8,26.0,22.0,3.2,3.7,2.6,0.1,1.35,1.8,10,1661125000000
33.2,1.0,4.6,16.4,10.4,40.0,0.0,0.51,14.0,25.0,0.14,0.07,2.0,15.0,0.035,0.02,0.1,0.42,0.9,2.9,3.3,4.8,29.0,19.0,3.3,2.8,2.6,0.9,0.14,1.4,10,1262594000000
34.4,10.6,5.8,12.8,22.4,29.2,0.0,0.51,14.0,23.0,0.07,0.07,2.0,29.0,0.175,0.08,0.1,0.35,1.9,2.0,4.9,4.4,25.0,5.0,1.2,0.3,4.0,1.1,0.93,3.5,10,1112172000000
21.2,8.2,2.2,18.8,10.4,31.6,0.0,0.51,14.0,20.0,0.07,0.03,2.0,32.0,0.175,0.02,0.1,0.46,1.0,2.2,2.7,4.4,1.0,9.0,0.3,4.7,1.4,0.2,0.29,2.5,10,266203000000
45.2,4.6,5.8,8.0,15.2,30.4,0.0,0.51,14.0,19.0,0.175,0.07,2.0,9.0,0.175,0.02,0.1,0.32,1.0,1.1,3.3,3.7,9.0,14.0,4.8,4.8,3.5,4.3,0.75,1.4,10,598281000000
48.8,9.4,3.4,8.0,23.6,38.8,0.0,0.51,14.0,33.0,0.035,0.03,2.0,18.0,0.175,0.02,0.1,0.41,2.0,4.2,4.5,4.6,13.0,6.0,1.4,1.5,3.8,1.7,1.82,4.4,10,922812000000
28.4,8.2,10.6,17.6,6.8,23.2,0.0,0.51,14.0,33.0,0.175,0.07,2.0,35.0,0.07,0.01,0.1,0.48,0.6,1.8,2.6,3.4,20.0,11.0,2.7,4.0,3.7,1.0,0.45,2.4,10,459390000000
42.8,2.2,9.4,16.4,26.0,40.0,0.0,0.51,14.0,34.0,0.175,0.09,2.0,18.0,0.14,0.07,0.1,0.25,3.0,4.1,4.2,4.7,8.0,22.0,1.5,1.2,0.9,2.7,1.9,3.6,10,170703000000
21.2,10.6,13.0,9.2,5.6,52.0,0.0,0.51,14.0,8.0,0.14,0.03,2.0,7.0,0.14,0.01,0.1,0.32,0.4,0.7,3.2,3.0,12.0,22.0,4.8,3.1,1.8,2.5,0.19,1.4,10,275625000000
36.8,13.0,8.2,15.2,6.8,19.6,0.0,0.5,14.0,28.0,0.175,0.01,2.0,24.0,0.175,0.02,0.1,0.34,0.6,2.0,4.8,2.2,30.0,23.0,4.4,2.3,0.2,1.2,0.28,1.7,10,642000000000
47.6,7.0,9.4,12.8,12.8,8.8,0.0,0.5,14.0,28.0,0.175,0.07,2.0,11.0,0.07,0.01,0.1,0.18,1.2,1.6,2.3,3.1,1.0,30.0,1.6,2.4,3.0,0.2,1.15,1.9,10,615500000000
8.0,7.0,7.0,20.0,9.2,31.6,0.0,0.5,14.0,34.0,0.07,0.03,2.0,14.0,0.175,0.1,0.1,0.37,0.7,0.3,3.3,4.5,21.0,4.0,0.4,0.9,1.9,0.1,0.15,3.0,10,582860000000
18.8,9.4,10.6,26.0,10.4,49.6,0.0,0.5,14.0,32.0,0.105,0.04,2.0,18.0,0.175,0.01,0.1,0.5,0.4,1.4,5.0,4.1,18.0,27.0,2.8,4.0,3.3,2.5,0.35,2.5,10,640703000000
34.4,9.4,3.4,5.6,16.4,53.2,0.0,0.5,14.0,8.0,0.14,0.02,2.0,34.0,0.175,0.08,0.1,0.32,1.2,1.0,3.0,3.6,29.0,4.0,0.4,4.2,0.1,2.1,0.69,2.0,10,397422000000
40.4,13.0,3.4,6.8,3.2,30.4,0.0,0.51,14.0,26.0,0.14,0.09,2.0,9.0,0.14,0.1,0.1,0.47,0.3,2.2,1.8,1.2,5.0,22.0,1.7,0.3,1.3,1.1,0.2,1.0,10,527282000000
